hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,15.9873,281.975,-6.62168,-1.44008,6.776464891726364
2,1,20.5596,281.821,-5.44096,-3.90935,6.699780828064452
3,1,21.4678,281.21,-7.20475,-5.38939,8.997441143714138
4,1,20.6484,280.072,-9.06837,-2.93844,9.532563353605367
5,1,31.8223,280.465,-9.09981,-4.52813,10.1641774548165
6,1,33.9385,280.318,-11.835,-4.62314,12.705929657431604
7,1,,280.364,-9.98152,-1.11793,10.043928962079532
8,1,14.772,280.123,-7.11013,0.754307,7.150029906731089
9,1,32.4648,280.239,-5.34971,2.02509,5.720173650528452
10,1,57.7011,279.743,-6.35824,-0.271736,6.364044024933832
11,1,138.446,280.591,-4.22182,1.39633,4.446740557003523
12,1,125.128,280.192,-1.92784,1.62944,2.524211120172003
13,1,106.613,280.115,-3.41639,0.874304,3.526489489069264
14,1,109.852,280.323,-4.66195,-0.634412,4.704918318976856
15,1,97.8207,279.841,-4.75622,1.92588,5.131339246512551
16,1,72.7587,279.475,-4.74919,3.59993,5.959387691785121
17,1,36.9567,279.471,-7.45568,2.83025,7.974802776551907
18,1,10.8331,279.358,-10.5721,2.0561,10.770183174858262
19,1,,279.23,-5.28432,2.67295,5.9218831096957665
20,1,0.0,278.892,-9.32106,2.328,9.607379638777681
21,1,26.6895,278.864,-8.91135,-0.875465,8.954250263909593
22,1,25.957,278.613,-7.90941,0.871621,7.957291606805735
23,1,25.2441,278.234,-9.14455,1.06708,9.206598417922876
24,1,24.8711,278.359,-6.62814,2.49828,7.083335571466313
1,2,20.0869,282.448,-0.588479,-3.00844,3.0654557193084684
2,2,25.4414,282.13,-1.14799,-2.77556,3.0036002320049184
3,2,28.167,282.036,-3.3942,-5.4597,6.428757090604684
4,2,29.9297,281.287,-1.36037,-4.02193,4.245765827480362
5,2,31.3721,281.061,-4.47481,-4.96221,6.681874932995978
6,2,33.0283,280.859,-6.65137,-5.29209,8.499819965446328
7,2,1.95703,280.795,-2.16609,-4.75465,5.224810284651491
8,2,63.4517,281.395,-1.97732,-5.20761,5.57036769832118
9,2,193.223,282.697,-2.71104,-5.01104,5.697390610024909
10,2,348.404,284.185,-5.27133,-5.00709,7.270341823944731
11,2,538.821,285.709,-6.61928,-3.64517,7.556595268194532
12,2,515.347,286.407,-6.23838,-4.56831,7.732195113969901
13,2,545.285,286.77,-7.66639,-4.4382,8.858394599028653
14,2,554.07,286.77,-8.49398,-5.17982,9.948780401275325
15,2,432.18,286.209,-7.65563,-5.8959,9.662831236594169
16,2,277.399,284.766,-7.85759,-6.51384,10.206460314609565
17,2,137.199,283.27,-10.1207,-5.75764,11.643839008660331
18,2,35.505,282.395,-6.54031,-5.0186,8.243906892735993
19,2,3.03516,281.398,-6.07338,-4.26699,7.422475886420918
20,2,0.0,280.673,-6.55446,-4.60169,8.008526502903015
21,2,28.7354,280.338,-4.98361,-4.37205,6.62956935513914
22,2,27.7275,280.313,-4.77269,-4.62984,6.649359988878628
23,2,27.25,280.003,-5.7256,-4.31182,7.167585860832083
24,2,27.3037,279.85,-3.82247,-2.56031,4.600702576455035
1,3,8.59668,281.207,,-4.78237,4.78237
2,3,11.9922,280.468,-6.13237,-3.71355,7.169129334821628
3,3,14.127,279.91,-5.74674,-1.28685,5.889057950988426
4,3,18.0684,279.707,-8.084,-3.51998,8.817103560716523
5,3,23.5977,279.716,-10.1008,-2.00908,10.298668024866128
6,3,28.4453,279.036,-11.0547,-1.97422,11.229600914475991
7,3,,278.789,-9.2071,-1.17848,9.282214472872301
8,3,12.5611,278.787,-5.9783,1.08146,6.075329342644726
9,3,30.8711,278.471,-6.13584,-1.08623,6.231246112817243
10,3,52.0292,278.163,-6.10727,-1.14527,6.213725953548321
11,3,83.4933,278.276,-5.83901,-2.27115,6.2651544356544
12,3,98.3937,278.28,-5.83213,-1.49995,6.0219257998915925
13,3,107.816,278.396,-4.58045,-2.38058,5.162139414903476
14,3,68.3204,277.965,-5.92562,-1.30629,6.067896336334364
15,3,55.555,277.843,-6.12731,1.21445,6.246504353524457
16,3,43.7587,277.901,-8.58659,-1.05485,8.651140754293621
17,3,26.3629,277.84,-8.76184,-1.70246,8.925705027458614
18,3,8.26669,277.962,-10.5857,-2.41216,10.857051181402802
19,3,,277.585,-10.6984,-1.06289,10.751069607815772
20,3,0.0,277.771,-8.98513,-0.996712,9.040243134332394
21,3,23.0664,277.407,-9.28146,1.79055,9.452595888648789
22,3,22.7646,277.035,-8.05297,-2.47701,8.425313309367196
23,3,21.5225,276.907,-9.26662,,9.26662
24,3,20.7695,276.965,-8.06661,,8.06661
1,4,8.4082,281.317,,-1.70766,1.70766
2,4,14.2559,280.883,-4.83061,-2.2741,5.339131369623715
3,4,13.5332,281.411,-5.06998,-0.841049,5.139266545023813
4,4,16.0605,280.948,-8.44337,-0.734823,8.47528535202379
5,4,23.0918,280.333,-9.46212,-0.222462,9.464734768383318
6,4,27.4736,279.665,-10.0693,0.92178,10.11140350586406
7,4,,280.068,-6.46394,-1.4402,6.622438853141643
8,4,12.3892,279.941,-6.32498,0.814854,6.3772532521232055
9,4,36.0898,279.571,-6.33311,-1.87432,6.604646677491536
10,4,54.1855,279.447,-5.50375,-1.65553,5.747351010978885
11,4,83.9621,279.572,-6.19155,-2.60269,6.716344737921067
12,4,95.6906,279.838,-5.28233,-1.45356,5.478672001726331
13,4,112.55,279.654,-4.20155,0.857702,4.288201851977586
14,4,82.1797,279.66,-6.33187,0.776233,6.379272322701783
15,4,70.555,278.983,-7.33142,-0.310937,7.338010700071853
16,4,52.7431,279.031,-6.27507,0.239093,6.279623314144648
17,4,31.8629,278.858,-9.87023,-1.43879,9.97454544914203
18,4,10.4542,278.981,-11.2459,-0.184132,11.247407319174673
19,4,,278.816,-8.3478,-0.712304,8.378134746374995
20,4,0.0,278.695,-8.84743,-1.85706,9.04022618348125
21,4,23.0664,278.446,-9.20627,-0.149879,9.207489941756169
22,4,21.8848,278.285,-9.46019,-2.37545,9.753868849774433
23,4,21.3438,278.072,-8.53127,-1.27667,8.62626536235699
24,4,20.6777,278.193,-8.26583,-1.53492,8.407135362018384
1,5,19.3691,281.84,1.87929,-1.05288,2.154132586100493
2,5,23.4268,280.502,0.399861,-5.3698,5.384667200423904
3,5,28.6768,280.063,4.23568,-3.10472,5.251692235917867
4,5,30.8838,280.246,2.60057,-1.83834,3.1847226379231204
5,5,29.0605,280.089,2.69609,-5.1917,5.85001283572096
6,5,32.2246,279.47,2.43066,-3.03525,3.8885537926200793
7,5,2.91797,280.245,-9.93464,1.22582,10.009980349730963
8,5,17.9204,280.243,-9.31131,-0.818935,9.347253524449041
9,5,34.707,278.737,-10.6856,-3.57451,11.267615945713628
10,5,73.7167,279.513,-5.50082,-0.64576,5.538594284653824
11,5,97.6027,279.054,-4.63295,-0.980135,4.735492616478775
12,5,123.409,278.858,-3.09092,-3.11567,4.388756771034367
13,5,111.8,278.888,-4.96424,-2.37814,5.504473511354197
14,5,109.133,278.887,-5.2557,-3.31898,6.215948095857944
15,5,88.3207,278.769,-3.34069,-2.7084,4.300655791399726
