bus_ID,Type,Pmax [MW],Pmin [MW]
1,Hydro,0,0
2,Hydro,0,0
3,Hydro,300,0
4,Hydro,0,0
5,Hydro,1100,0
6,Hydro,100,0
7,Hydro,0,0
8,Hydro,0,0
9,Hydro,0,0
10,Hydro,0,0
11,Hydro,0,0
12,Hydro,0,0
13,Hydro,0,0
14,Hydro,0,0
15,Hydro,0,0
16,Hydro,200,0
17,Hydro,0,0
18,Hydro,0,0
19,Hydro,0,0
20,Hydro,0,0
21,Hydro,0,0
22,Hydro,0,0
23,Hydro,0,0
24,Hydro,0,0
25,Hydro,0,0
26,Hydro,0,0
27,Hydro,0,0
28,Hydro,0,0
29,Hydro,0,0
30,Hydro,0,0
31,Hydro,0,0
32,Hydro,0,0
33,Hydro,100,0
34,Hydro,0,0
35,Hydro,500,0
36,Hydro,0,0
37,Hydro,0,0
38,Hydro,0,0
39,Hydro,0,0
40,Hydro,0,0
41,Hydro,0,0
42,Hydro,0,0
43,Hydro,0,0
44,Hydro,0,0
45,Hydro,0,0
46,Hydro,0,0
47,Hydro,0,0
48,Hydro,0,0
49,Hydro,0,0
50,Hydro,0,0
51,Hydro,600,0
52,Hydro,0,0
53,Hydro,700,0
54,Hydro,0,0
55,Hydro,0,0
56,Hydro,0,0
57,Hydro,0,0
58,Hydro,0,0
59,Hydro,0,0
60,Hydro,0,0
61,Hydro,0,0
62,Hydro,100,0
63,Hydro,200,0
64,Hydro,0,0
65,Hydro,0,0
66,Hydro,0,0
67,Hydro,0,0
68,Hydro,0,0
69,Hydro,0,0
70,Hydro,0,0
71,Hydro,800,0
72,Hydro,0,0
73,Hydro,0,0
74,Hydro,600,0
75,Hydro,0,0
76,Hydro,0,0
77,Hydro,0,0
78,Hydro,0,0
79,Hydro,0,0
80,Hydro,0,0
81,Hydro,0,0
82,Hydro,0,0
83,Hydro,0,0
84,Hydro,0,0
85,Hydro,0,0
86,Hydro,0,0
87,Hydro,0,0
88,Hydro,200,0
89,Hydro,0,0
90,Hydro,0,0
91,Hydro,0,0
92,Hydro,0,0
93,Hydro,0,0
94,Hydro,0,0
95,Hydro,0,0
96,Hydro,0,0
97,Hydro,0,0
98,Hydro,0,0
99,Hydro,0,0
100,Hydro,0,0
101,Hydro,0,0
102,Hydro,0,0
103,Hydro,0,0
104,Hydro,0,0
105,Hydro,0,0
106,Hydro,0,0
107,Hydro,0,0
108,Hydro,0,0
109,Hydro,0,0
110,Hydro,0,0
111,Hydro,0,0
112,Hydro,0,0
113,Hydro,0,0
114,Hydro,0,0
115,Hydro,0,0
116,Hydro,0,0
117,Hydro,0,0
118,Hydro,0,0
119,Hydro,0,0
120,Hydro,0,0
121,Hydro,0,0
122,Hydro,0,0
123,Hydro,0,0
124,Hydro,0,0
125,Hydro,0,0
126,Hydro,0,0
127,Hydro,0,0
128,Hydro,100,0
129,Hydro,0,0
130,Hydro,0,0
131,Hydro,0,0
132,Hydro,0,0
133,Hydro,0,0
134,Hydro,0,0
135,Hydro,0,0
136,Hydro,0,0
137,Hydro,0,0
138,Hydro,0,0
139,Hydro,0,0
140,Hydro,0,0
141,Hydro,0,0
142,Hydro,0,0
143,Hydro,0,0
144,Hydro,0,0
145,Hydro,0,0
146,Hydro,0,0
147,Hydro,0,0
148,Hydro,0,0
149,Hydro,0,0
150,Hydro,0,0
151,Hydro,0,0
152,Hydro,0,0
153,Hydro,0,0
154,Hydro,0,0
155,Hydro,0,0
156,Hydro,0,0
157,Hydro,0,0
158,Hydro,0,0
159,Hydro,0,0
160,Hydro,0,0
161,Hydro,0,0
162,Hydro,0,0
163,Hydro,0,0
164,Hydro,0,0
165,Hydro,0,0
166,Hydro,0,0
167,Hydro,0,0
168,Hydro,0,0
169,Hydro,0,0
170,Hydro,0,0
171,Hydro,0,0
172,Hydro,0,0
173,Hydro,0,0
174,Hydro,0,0
175,Hydro,0,0
176,Hydro,800,0
177,Hydro,0,0
178,Hydro,0,0
179,Hydro,0,0
180,Hydro,0,0
181,Hydro,0,0
182,Hydro,0,0
183,Hydro,400,0
184,Hydro,0,0
185,Hydro,0,0
186,Hydro,0,0
187,Hydro,0,0
188,Hydro,0,0
189,Hydro,0,0
190,Hydro,0,0
191,Hydro,0,0
192,Hydro,0,0
193,Hydro,0,0
194,Hydro,0,
195,Hydro,0,
196,Hydro,0,
197,Hydro,400,
